Time,X,Y,Z,LED 1,LED 2,LED 3,LED 4,LED 5,LED 6,LED 7,LED 8,LED 9,LED 10,LED 11,LED 12,LED 13,LED 14,LED 15,LED 16,LED 17,LED 18,LED 19,LED 20,LED 21,LED 22,LED 23,LED 24,LED 25,LED 26,LED 27,LED 28,Amount,Class
0,0,0,0,8.272,3.625,4.993,2.56,2.653,1.596,8.272,3.625,4.993,2.56,2.653,1.596,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
0,4,0,0,8.705,3.885,5.194,2.712,2.73,1.671,8.705,3.885,5.194,2.712,2.73,1.671,0.489095016,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69,0
1,8,0,0,9.134,4.162,5.39,2.872,2.804,1.748,9.134,4.162,5.39,2.872,2.804,1.748,0.717292731,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
1,12,0,0,9.554,4.456,5.579,3.04,2.875,1.826,9.554,4.456,5.579,3.04,2.875,1.826,0.50775687,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.965775003,-1.23262197,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,123.5,0
2,16,0,0,9.959,4.768,5.758,3.214,2.941,1.907,9.959,4.768,5.758,3.214,2.941,1.907,1.345851593,-1.119669835,0.17512113,-0.451449183,-0.237033239,-0.038194787,0.803486925,0.40854236,-0.009430697,0.798278495,-0.13745808,0.141266984,-0.206009588,0.502292224,0.21942223,0.215153147,69.99,0
2,20,0,0,10.344,5.097,5.927,3.395,3.002,1.988,10.344,5.097,5.927,3.395,3.002,1.988,-0.358090653,-0.1371337,0.517616807,0.401725896,-0.058132823,0.068653149,-0.033193788,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67,0
4,24,0,0,10.703,5.445,6.081,3.581,3.057,2.071,10.703,5.445,6.081,3.581,3.057,2.071,-0.751062716,0.167371963,0.050143594,-0.443586798,0.002820512,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.270709726,-0.154103787,-0.780055415,0.750136936,-0.257236846,0.03450743,0.005167769,4.99,0
7,28,0,0,11.029,5.809,6.22,3.774,3.106,2.155,11.029,5.809,6.22,3.774,3.106,2.155,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0
7,32,0,0,11.316,6.189,6.341,3.971,3.149,2.24,11.316,6.189,6.341,3.971,3.149,2.24,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669,-0.0734251,-0.268091632,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2,0
9,36,0,0,11.56,6.585,6.443,4.173,3.184,2.324,11.56,6.585,6.443,4.173,3.184,2.324,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.094198834,0.246219305,0.083075649,3.68,0
10,40,0,0,11.755,6.993,6.524,4.377,3.212,2.408,11.755,6.993,6.524,4.377,3.212,2.408,-0.513947153,-0.095045045,0.230930409,0.031967467,0.253414716,0.854343814,-0.221365414,-0.387226474,-0.009301897,0.313894411,0.027740158,0.500512287,0.251367359,-0.129477954,0.042849871,0.016253262,7.8,0
10,44,0,0,11.897,7.413,6.583,4.583,3.233,2.491,11.897,7.413,6.583,4.583,3.233,2.491,-0.090046723,0.362832369,0.928903661,-0.129486811,-0.809978926,0.35998539,0.707663826,0.125991576,0.049923686,0.238421512,0.009129869,0.99671021,-0.767314827,-0.492208295,0.042472442,-0.054337388,9.99,0
10,48,0,0,11.984,7.84,6.618,4.788,3.245,2.573,11.984,7.84,6.618,4.788,3.245,2.573,1.205416808,-0.317630527,0.72567499,-0.815612186,0.873936448,-0.847788599,-0.683192626,-0.102755942,-0.231809239,-0.48328533,0.084667691,0.392830885,0.161134554,-0.35499004,0.026415549,0.042422089,121.5,0
11,52,0,0,12.013,8.272,6.63,4.993,3.249,2.653,12.013,8.272,6.63,4.993,3.249,2.653,-0.011075887,-0.178485175,-0.655564278,-0.199925171,0.124005415,-0.980496202,-0.982916082,-0.153197231,-0.036875532,0.074412403,-0.071407433,0.104743753,0.548264725,0.104094153,0.021491058,0.021293311,27.5,0
12,56,0,0,11.984,8.705,6.618,5.194,3.245,2.73,11.984,8.705,6.618,5.194,3.245,2.73,0.370448093,-0.734975106,0.40679571,-0.303057624,-0.155868715,0.778265457,2.221868014,-1.582122044,1.151663048,0.222181966,1.020586204,0.028316651,-0.232746324,-0.235557218,-0.164777512,-0.030153637,58.8,0
12,60,0,0,11.897,9.134,6.583,5.39,3.233,2.804,11.897,9.134,6.583,5.39,3.233,2.804,1.047626997,-1.066603681,1.106953457,1.660113557,-0.279265373,-0.419994141,0.432535349,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.087086473,-0.1809975,0.129394059,15.99,0
12,64,0,0,11.755,9.554,6.524,5.579,3.212,2.875,11.755,9.554,6.524,5.579,3.212,2.875,0.708380406,-0.468647288,0.354574063,-0.246634656,-0.009212378,-0.595912406,-0.575681622,-0.113910177,-0.024612006,0.196001953,0.013801654,0.103758331,0.364297541,-0.382260574,0.092809187,0.037050517,12.99,0
13,68,0,0,11.56,9.959,6.443,5.758,3.184,2.941,11.56,9.959,6.443,5.758,3.184,2.941,0.252624256,-0.29189646,-0.184520169,1.143173707,-0.928709263,0.680469593,0.025436462,-0.047021282,-0.194795824,-0.672637997,-0.156857514,-0.888386321,-0.342413219,-0.049026729,0.079692399,0.131023789,0.89,0
14,72,0,0,11.316,10.344,6.341,5.927,3.149,3.002,11.316,10.344,6.341,5.927,3.149,3.002,-0.266567765,-0.479129929,-0.526608503,0.472004112,-0.725480945,0.075081352,-0.406866573,-2.196848025,-0.503600329,0.984459786,2.458588576,0.042118897,-0.481630824,-0.621272014,0.39205329,0.949594246,46.8,0
15,76,0,0,11.029,10.703,6.22,6.081,3.106,3.057,11.029,10.703,6.22,6.081,3.106,3.057,-0.416957167,0.052010515,-0.042978923,-0.166432496,0.304241419,0.554432499,0.054229515,-0.387910173,-0.177649846,-0.175073809,0.040002219,0.295813863,0.332930599,-0.220384851,0.022298436,0.007602256,5,0
16,80,0,0,10.703,11.029,6.081,6.22,3.057,3.106,10.703,11.029,6.081,6.22,3.057,3.106,0.420480265,-0.372650997,-0.807979513,-2.044557483,0.515663469,0.625847298,-1.300408169,-0.13833394,-0.295582932,-0.571955007,-0.050880701,-0.304214501,0.072001006,-0.42223443,0.086553398,0.063498649,231.71,0
17,84,0,0,10.344,11.316,5.927,6.341,3.002,3.149,10.344,11.316,5.927,6.341,3.002,3.149,-0.936421296,0.983739419,0.710910766,-0.602231772,0.402484376,-1.737162035,-2.027612322,-0.269320967,0.143997423,0.402491661,-0.048508221,-1.371866295,0.390813885,0.199963658,0.016370643,-0.014605328,34.09,0
18,88,0,0,9.959,11.56,5.758,6.443,2.941,3.184,9.959,11.56,5.758,6.443,2.941,3.184,-2.10534645,1.126870105,0.003075323,0.424424506,-0.454475292,-0.098870627,-0.816597307,-0.307168509,0.018701872,-0.061972267,-0.103854922,-0.370415177,0.603200339,0.108555873,-0.040520706,-0.011417815,2.28,0
18,92,0,0,9.554,11.755,5.579,6.524,2.875,3.212,9.554,11.755,5.579,6.524,2.875,3.212,-0.453375297,0.081393088,1.555204196,-1.396894893,0.783130838,0.436621214,2.177807168,-0.230983143,1.650180361,0.200454091,-0.185352508,0.423073148,0.820591262,-0.227631864,0.336634447,0.250475352,22.75,0
22,96,0,0,9.134,11.897,5.39,6.583,2.804,3.233,9.134,11.897,5.39,6.583,2.804,3.233,0.044160628,0.033897757,1.190717675,0.578843475,-0.975667025,0.044062818,0.488602869,-0.216715254,-0.579525934,-0.799228953,0.870300215,0.983421493,0.321201133,0.149649877,0.707518836,0.014599752,0.89,0
22,100,0,0,8.705,11.984,5.194,6.618,2.73,3.245,8.705,11.984,5.194,6.618,2.73,3.245,-0.65523293,-0.279796856,-0.211667955,-0.33332061,0.010751094,-0.488472666,0.505751034,-0.386693573,-0.403639499,-0.227404004,0.742434864,0.398534855,0.249212161,0.274404274,0.359969356,0.243231672,26.43,0
23,104,0,0,8.272,12.013,4.993,6.63,2.653,3.249,8.272,12.013,4.993,6.63,2.653,3.249,1.492285435,0.101417526,0.761477545,-0.014584082,-0.511640117,-0.325056355,-0.390933798,0.027877909,0.067003304,0.227811928,-0.150487225,0.435045103,0.72482458,-0.33708206,0.016368379,0.030041191,41.88,0
23,108,0,0,7.84,11.984,4.788,6.618,2.573,3.245,7.84,11.984,4.788,6.618,2.573,3.245,0.36148541,0.171945122,0.782166532,-1.35587073,-0.216935153,1.271765385,-1.240621935,-0.522950941,-0.284375572,-0.323357411,-0.037709905,0.347150939,0.559639137,-0.280158166,0.042335258,0.0288223,16,0
23,112,0,0,7.413,11.897,4.583,6.583,2.491,3.233,7.413,11.897,4.583,6.583,2.491,3.233,0.635953883,-0.086324472,0.076803687,-1.405919334,0.775591738,-0.942888927,0.543969462,0.097307591,0.077237434,0.457330599,-0.038499725,0.642521903,-0.183891335,-0.277464019,0.182687486,0.152664645,33,0
23,116,0,0,6.993,11.755,4.377,6.524,2.408,3.212,6.993,11.755,4.377,6.524,2.408,3.212,-0.542001579,-0.039914502,-0.218683248,0.004475682,-0.193554039,0.042387962,-0.277833721,-0.178023367,0.013676294,0.21373361,0.014461849,0.00295086,0.294638015,-0.395069505,0.081461117,0.024220349,12.99,0
24,120,0,0,6.585,11.56,4.173,6.443,2.324,3.184,6.585,11.56,4.173,6.443,2.324,3.184,0.348675901,-0.152535139,-0.21838563,-0.191551818,-0.116580603,-0.633790817,0.348415801,-0.066351335,-0.245682498,-0.530900256,-0.044265397,0.079168029,0.50913569,0.288857834,-0.022704982,0.011836231,17.28,0
25,124,0,0,6.189,11.316,3.971,6.341,2.24,3.149,6.189,11.316,3.971,6.341,2.24,3.149,-1.492780392,0.520787894,-0.674592597,-0.529108242,0.158256198,-0.398751479,-0.145708909,-0.273832367,-0.05323366,-0.004760151,-0.03147017,0.198053718,0.565007313,-0.337718126,0.029057402,0.004452631,4.45,0
26,128,0,0,5.809,11.029,3.774,6.22,2.155,3.106,5.809,11.029,3.774,6.22,2.155,3.106,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14,0
26,132,0,0,5.445,10.703,3.581,6.081,2.071,3.057,5.445,10.703,3.581,6.081,2.071,3.057,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14,0
26,136,0,0,5.097,10.344,3.395,5.927,1.988,3.002,5.097,10.344,3.395,5.927,1.988,3.002,-0.571821891,0.102252103,-1.519991203,-0.285912497,-0.309633387,-0.403901993,-0.823742994,-0.283263782,0.049525687,0.206536543,-0.18710807,0.000753014,0.098116606,-0.553470969,-0.078305502,0.025427378,1.77,0
26,140,0,0,4.768,9.959,3.214,5.758,1.907,2.941,4.768,9.959,3.214,5.758,1.907,2.941,-0.571821891,0.102252103,-1.519991203,-0.285912497,-0.309633387,-0.403901993,-0.823742994,-0.283263782,0.049525687,0.206536543,-0.18710807,0.000753014,0.098116606,-0.553470969,-0.078305502,0.025427378,1.77,0
27,144,0,0,4.456,9.554,3.04,5.579,1.826,2.875,4.456,9.554,3.04,5.579,1.826,2.875,-0.630112887,-0.286217451,-0.337046324,-0.428105474,-0.030602108,-0.504568166,0.355180278,0.045721127,-0.194599935,-0.335132726,-0.078179606,0.392783892,-0.031157147,0.198036799,-0.175347301,-0.203616156,30.49,0
27,148,0,0,4.162,9.134,2.872,5.39,1.748,2.804,4.162,9.134,2.872,5.39,1.748,2.804,-0.268094206,0.76864804,-0.524367354,-0.808816147,0.710386067,-0.118368787,0.979287836,0.008713334,0.082279817,0.325782191,-0.069107391,0.020961997,-0.044668488,-0.243441392,0.149180325,0.120556908,1.8,0
29,152,0,0,3.885,8.705,2.712,5.194,1.671,2.73,3.885,8.705,2.712,5.194,1.671,2.73,0.391917044,-0.037510858,0.795301519,-1.668210591,1.322994882,-2.830035229,-1.463431688,-0.20346121,-0.076301837,0.108866913,0.16223094,-0.575624048,0.109794915,0.373813367,0.050552197,0.005105559,20.53,0
29,156,0,0,3.625,8.272,2.56,4.993,1.596,2.653,3.625,8.272,2.56,4.993,1.596,2.653,-0.252267066,0.274457682,-0.810394372,-0.587005063,0.087451074,-0.550473628,-0.154749355,-0.190119711,-0.037708654,0.095701462,-0.048197647,0.232114939,0.606200749,-0.342096829,0.036769605,0.007479961,6.54,0
32,0,4,0,8.589,3.717,5.303,2.672,2.836,1.681,8.589,3.717,5.303,2.672,2.836,1.681,-0.0169131,-0.220846086,0.362417699,0.315222304,-0.512265445,0.118994619,0.57472016,0.097852692,-0.006292714,0.009200225,-0.129463201,1.11297017,0.500382109,1.196549199,-0.048220435,0.005093622,29.89,0
32,4,4,0,9.048,3.986,5.524,2.835,2.921,1.761,9.048,3.986,5.524,2.835,2.921,1.761,-0.206518166,1.013603212,-0.54941351,-0.708034201,0.869643169,-0.09565956,0.944395409,0.028740125,0.094917307,0.294982704,0.011081384,0.015249372,0.034210636,-0.236141102,0.128290673,0.11798599,2.35,0
33,8,4,0,9.502,4.274,5.739,3.006,3.004,1.844,9.502,4.274,5.739,3.006,3.004,1.844,0.481916748,-0.365439093,0.235544572,-1.34781146,0.50464826,-0.798404511,0.759710307,0.254324778,-0.087329191,0.25831528,-0.264775023,0.118282367,0.173508081,-0.217041287,0.094311913,-0.033041296,14.8,0
33,12,4,0,9.948,4.58,5.947,3.186,3.082,1.93,9.948,4.58,5.947,3.186,3.082,1.93,0.415429902,-0.233899925,0.452335832,0.844368277,-0.822739086,0.338821622,-1.214234428,-0.00541945,0.401212016,1.064864254,-0.158325436,0.295505486,-0.259369648,0.754194723,0.04666377,0.093947918,9.1,0
34,16,4,0,10.379,4.906,6.145,3.373,3.155,2.017,10.379,4.906,6.145,3.373,3.155,2.017,1.380826322,-1.039124606,0.652842089,1.898747563,-0.458413549,-0.559803243,-0.29510264,0.359392906,0.433349642,1.260402664,-0.404700036,0.094945523,0.480975977,-0.09068468,0.319222973,0.135599925,15.99,0
34,20,4,0,10.789,5.25,6.33,3.567,3.223,2.106,10.789,5.25,6.33,3.567,3.223,2.106,0.744206684,-0.188353421,-0.075661963,-0.709192272,0.381219103,-1.372080174,-0.273701149,-0.078354633,-0.164222415,-0.247400539,0.059405065,0.456286465,0.361004004,0.274414146,-0.002498362,0.017108847,21.34,0
34,24,4,0,11.171,5.613,6.501,3.769,3.284,2.197,11.171,5.613,6.501,3.769,3.284,2.197,-0.05895353,0.151922602,1.982594882,-0.443295054,-0.318251412,0.064787167,0.613505272,-0.033522345,-0.064906147,-0.120448982,-0.156525634,-0.800212851,-0.000620392,-0.835203307,0.131001421,0.06289627,18.95,0
34,28,4,0,11.519,5.995,6.654,3.977,3.339,2.288,11.519,5.995,6.654,3.977,3.339,2.288,0.089923037,-0.157405057,-0.588819332,-0.477908446,0.225388796,-0.668680159,-0.023599421,-0.222302592,0.71896107,-0.17187687,-0.166205255,0.776471324,0.818460356,0.442547455,0.142757247,0.21923761,9.99,0
35,32,4,0,11.826,6.394,6.788,4.191,3.387,2.381,11.826,6.394,6.788,4.191,3.387,2.381,2.047898316,-0.739338429,1.456222044,-0.272049583,-0.932007398,1.9265322,-0.659939173,-0.273032887,-0.228726646,-0.12352242,-0.131025122,-0.929668179,0.181379006,1.194928064,0.000531332,0.019910623,30.9,0
35,36,4,0,12.086,6.809,6.901,4.409,3.426,2.474,12.086,6.809,6.901,4.409,3.426,2.474,0.555086956,-0.116357329,0.165886171,-1.237210027,0.638414233,-0.776070595,0.69280589,0.235008926,-0.05722847,0.314152998,-0.129862928,0.114283708,-0.027812477,-0.259937016,0.11875364,-0.008956298,20.22,0
35,40,4,0,12.295,7.239,6.991,4.631,3.458,2.566,12.295,7.239,6.991,4.631,3.458,2.566,1.091681409,-0.409346352,-0.577994105,-0.581283742,0.21234268,-0.893181253,-0.020652885,-0.072620126,-0.042468086,0.198474052,-0.033009975,1.013290131,0.559097511,0.401817534,-0.005864656,0.017936032,0.99,0
36,44,4,0,12.447,7.681,7.056,4.855,3.48,2.658,12.447,7.681,7.056,4.855,3.48,2.658,-0.799585071,-0.341956368,-0.930529782,0.510510185,0.092428106,0.823984132,1.1903978,-0.001979978,1.393406004,-0.381671395,0.969719176,0.019444796,0.570922813,0.333277782,0.857373192,-0.075538246,1402.95,0
36,48,4,0,12.54,8.133,7.096,5.08,3.494,2.748,12.54,8.133,7.096,5.08,3.494,2.748,-0.346158686,0.210182391,2.345229333,-1.172647683,0.860018874,-1.154224266,0.858768026,-0.120560178,0.024497904,-0.120153158,0.212986045,0.087535763,-0.946529684,0.226700389,-0.810100768,0.234956581,7.99,0
36,52,4,0,12.571,8.589,7.109,5.303,3.498,2.836,12.571,8.589,7.109,5.303,3.498,2.836,-1.321559752,-0.062404467,0.505750536,-0.209298471,0.207536534,-0.471334707,-0.736297582,-0.275034579,-0.033234172,0.093261885,0.089498395,0.361261298,0.250962948,-0.37827998,0.0810239,0.034226938,2.09,0
37,56,4,0,12.54,9.048,7.096,5.524,3.494,2.921,12.54,9.048,7.096,5.524,3.494,2.921,0.303950023,-0.316750192,1.134897205,0.635909577,-0.199763166,-0.122051064,0.004516182,-0.065983383,-0.323607229,-0.929781372,0.063808806,-0.193565115,0.287574218,0.127880985,-0.023731193,0.025199673,0.99,0
38,60,4,0,12.447,9.502,7.056,5.739,3.48,3.004,12.447,9.502,7.056,5.739,3.48,3.004,0.754693617,-0.047655469,0.348217617,-1.493526805,0.757230632,-0.684369216,1.303358759,0.089837783,0.116269966,0.691685039,0.12111283,0.116142168,-1.112725012,-0.303369145,0.327532804,0.255621383,21.76,0
39,64,4,0,12.295,9.948,6.991,5.947,3.458,3.082,12.295,9.948,6.991,5.947,3.458,3.082,0.836964039,0.1447522,1.156609532,-1.933020943,0.741348958,-0.513609928,1.567345387,0.383282933,0.212133973,0.702337604,-0.005700602,0.147346442,0.245651952,-0.44045621,0.147130419,0.139467732,120.96,0
39,68,4,0,12.086,10.379,6.901,6.145,3.426,3.155,12.086,10.379,6.901,6.145,3.426,3.155,-0.35662599,-0.041200001,-0.7351031,0.030533314,-0.778067288,-0.015159683,-0.152824068,-0.113875191,-0.151042302,-0.311726353,-0.374792813,1.01488604,0.353991877,-0.510327072,0.159032671,0.228707928,13.84,0
40,72,4,0,11.826,10.789,6.788,6.33,3.387,3.223,11.826,10.789,6.788,6.33,3.387,3.223,-1.015039703,0.422995452,-0.706629551,-0.488455358,0.058531448,-0.383627226,-0.074067698,-0.2198461,-0.056023985,-0.011603086,-0.070482892,0.004345191,0.603928641,-0.327424451,0.029889689,0.004944296,13.84,0
41,76,4,0,11.519,11.171,6.654,6.501,3.339,3.284,11.519,11.171,6.654,6.501,3.339,3.284,0.189484506,-0.070792612,0.619345198,0.318582897,0.090232112,-0.331450412,-0.344721213,-0.099579746,-0.193213341,-0.557685063,0.169492069,0.186862704,0.089251983,0.09362623,-0.00963264,0.019667693,2.67,0
41,80,4,0,11.171,11.519,6.501,6.654,3.284,3.339,11.171,11.519,6.501,6.654,3.284,3.339,0.81124802,0.371566359,1.026078849,-0.028501345,-0.307546103,-1.099654915,0.010738506,0.263505048,-0.305873933,-1.216555269,-0.077601526,-0.741340788,0.286881125,0.200346696,-0.075203351,0.027271219,169.05,0
41,84,4,0,10.789,11.826,6.33,6.788,3.223,3.387,10.789,11.826,6.33,6.788,3.223,3.387,0.146080827,-0.586610839,0.797189022,-0.891720829,-0.079207821,1.541588494,-0.983586179,-0.299307434,-0.156198372,-0.030568777,-0.019723384,0.433752601,-0.02952146,1.141241302,-0.00861206,0.041563896,96.94,0
